"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"h>ADD3",1.3849962227598,0.129095475630602,0.101927465891036,1.26654258007955,0.205318895013661,NA
"h>ADH5",0.232952937706026,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ADIPOR1",3.63797092072252,-0.223362240999759,0.159880252694151,-1.39705959451446,0.162395650964706,NA
"h>ADIPOR2",0.725341129045987,-0.00679892288939631,0.0768501365803185,-0.0884698868724916,0.929503217263713,NA
"h>ADNP",2.20601291104431,0.0387070798449532,0.120064523339973,0.322385653715135,0.747160551228209,NA
"h>ADORA2A",0.67105177654808,0.0674255738028641,0.0599717642115195,1.12428864965611,0.260890591945413,NA
"h>ADRA1A",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>ADRA1B",0.253702846860947,-0.020657135909029,0.0440863492650921,-0.468560818788084,0.639383588994514,NA
"h>ADRA1D",10.1562253616759,0.0525035157529935,0.19163524102916,0.273976307651078,0.784102829020383,0.991812485564529
"h>ADRBK1",1.23297754203402,-0.015525366471061,0.103406094239574,-0.150139762895322,0.880654349268845,NA
"h>ADRBK2",1.29675856966577,0.0614671493760874,0.0914862929136538,0.671872773707216,0.501664694503303,NA
"h>ADSL",0.562814549918787,0.0783402190811082,0.0652277669730146,1.20102561710442,0.229741264448742,NA
"h>ADSS",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AEBP1",0.727820787918892,0.0281247589939208,0.0774999577295595,0.362900313985509,0.716679352189121,NA
"h>AEBP2",0.947809337561532,0.0286802799402397,0.0899944473510459,0.31868943900911,0.749962023865544,NA
"h>AES",0.803656578164436,0.0630349103163326,0.0700283454502825,0.900134222949548,0.368048825513779,NA
"h>AFF1",0.557451996788008,0.056538783250916,0.0556123677069739,1.01665844455362,0.309315940761198,NA
"h>AFF2",0.488068751360106,-0.006644283294221,0.0688212469711457,-0.0965440701329738,0.923088474465229,NA
"h>AFF3",0.776741379798889,0.049043037539185,0.0512451839044904,0.957027252172425,0.338553499979562,NA
"h>AFF4",6.56421901808213,0.00774527733565471,0.179473797889765,0.043155476881433,0.965577596300193,0.999306886009384
"h>AFG3L1",0.227199559520143,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AFG3L2",0.457214048792581,0.0632077217515106,0.0616250412078599,1.02568242572548,0.305041300830806,NA
"h>AFTPH",0.83420955780146,0.00881761773134232,0.0791343946585641,0.1114258568526,0.91127865692517,NA
"h>AGAP1",0.820957914131058,0.0531204101989027,0.086789091181489,0.612063215269992,0.540495933861934,NA
"h>AGAP3",0.354641098224566,0.0306025879395427,0.049354963123526,0.620050872349965,0.535224294742859,NA
"h>AGAP9",0.227199559520143,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AGBL5",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AGFG1",2.075906516514,-4.84035973292575e-05,0.130084552946763,-0.000372093351845292,0.999703112466236,NA
"h>AGGF1",3.47109764115129,0.0798486593028514,0.158632096220009,0.503357524772972,0.614712929076959,NA
"h>AGL",0.364665901117931,-0.0149542578580022,0.0498421363524249,-0.300032441472077,0.764152410178184,NA
"h>AGPAT3",0.706357078602597,0.0733609637257273,0.0782060443083599,0.938047236304027,0.348220135586663,NA
"h>AGPAT5",0.238685344479014,-0.00268655585394409,0.0443116340121988,-0.0606286794390044,0.951654932642571,NA
"h>AGPS",0.703699381686615,0.0304042612430844,0.0768495376974866,0.395633625836096,0.692375327095651,NA
"h>AGRN",0.481794244585541,0.0296398874038672,0.0614428579084539,0.482397603445283,0.629523523271873,NA
"h>AGTPBP1",0.457515771723081,0.0632326247738386,0.061632754926942,1.02595811024176,0.304911329721278,NA
"h>AHCTF1",0.57070364045841,0.0306857208293485,0.0550421775744671,0.557494673749663,0.577189497154833,NA
"h>AHCY",0.238685344479014,-0.00268655585394409,0.0443116340121988,-0.0606286794390044,0.951654932642571,NA
"h>AHCYL1",6.17584706900252,0.405343531472488,0.169694171619969,2.38867091075029,0.0169094413024672,0.337992458343896
"h>AHCYL2",0.367302626621019,-0.015021289982401,0.0499518987742663,-0.300715094941285,0.763631757177414,NA
"h>AHDC1",0.369106418469255,-0.020647733251691,0.0583850573489359,-0.353647563079208,0.723603024662456,NA
"h>AHNAK",142.723169590797,0.17289579184848,0.182186665432147,0.949003547753463,0.342618807690494,0.891540845901374
"h>AHR",0.693084463519301,0.0538069028237495,0.0675266331980077,0.796824901161177,0.425552731037997,NA
"h>AHSA1",0.949551071144644,0.028480810327803,0.0900015514253278,0.316447993137461,0.751662493809474,NA
"h>AHSA2",0.491517324548405,-0.0298121888598654,0.0533040127109967,-0.559286015135501,0.575966538091597,NA
"h>AIF1",0.253702846860947,-0.020657135909029,0.0440863492650921,-0.468560818788084,0.639383588994514,NA
"h>AIFM1",0.221926108513968,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AIM1",0.833510391169701,0.0305435233834757,0.0690160278539724,0.442556958625629,0.658086222891071,NA
"h>AIP",0.229925387147834,0.0153392175315042,0.0440863492650921,0.347935762139641,0.727888426969383,NA
"h>AK3",0.237814477687458,-0.00267997343889962,0.0442580081867004,-0.0605534127879021,0.951714876604979,NA
"h>AKAP1",0.495957841899729,-0.0409529778947396,0.0622165101688378,-0.65823328540294,0.510388239534844,NA
"h>AKAP10",0.485432025857018,-0.00693961079652363,0.0687809999093042,-0.100894299380269,0.919634368452346,NA
"h>AKAP11",0.877305902871762,0.0106111180342707,0.0932682741285367,0.113769855113295,0.909420235534942,NA
"h>AKAP12",0.349648398735998,0.00792250070244428,0.0492040093255332,0.161013316009049,0.872082912826188,NA
"h>AKAP13",3.04693866841666,0.132581588008746,0.126709328532473,1.04634433426714,0.29540208338337,NA
"h>AKAP5",0.240451203190545,-0.00269987020548988,0.0444198955217784,-0.0607806518627712,0.951533899404827,NA
"h>AKAP6",0.378909488951358,-0.0152732702966418,0.0503622224929974,-0.30326839326373,0.761685331164765,NA
