"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"18",0610040F04Rik,2.86573582498249,-0.0595117543325693,0.126249630886015,-0.471381610503874,0.637368245774159,NA
"19",0610040J01Rik,39.701896168472,0.056013078800981,0.178339493066961,0.314081182119038,0.753459381386305,0.989802732827444
"20",0610043K17Rik,14.5359636949074,-0.190630206608587,0.197340435256131,-0.965996686696089,0.334045838978937,0.890861848759354
"21",1010001N08Rik,15.1191610355833,-0.243133687613888,0.19853418382451,-1.22464395264445,0.220709399938691,0.824851463076057
"22",1110001J03Rik,13.5866156512436,-0.168959932518609,0.195370410942769,-0.864818432347486,0.387138452634253,0.909706336928336
"23",1110002L01Rik,7.87552804493735,0.235510927666227,0.190183167227533,1.23833739388967,0.215590983914038,0.820368443088272
"24",1110004E09Rik,119.843379651511,-0.0860605353757323,0.146787755835658,-0.586292329941232,0.557679084459721,0.955841604356796
"25",1110004F10Rik,275.68688791281,-0.020800930354699,0.12230829383142,-0.170069663332639,0.864955351080342,0.99442980598652
"26",1110006O24Rik,0.809889998086771,0.0824699291989957,0.079789850626678,1.03358921656411,0.301328242696644,NA
"27",1110007C09Rik,50.3611394141801,0.32125967151146,0.172413548390118,1.86330873943009,0.0624188412773986,0.581588989383213
"28",1110008F13Rik,68.9511681383695,0.0977206604178579,0.164534334804063,0.593922603049565,0.552563880395314,0.952893504492518
"29",1110008L16Rik,21.0029708033486,-0.0719204795474841,0.196407401882691,-0.366180087196715,0.714230699974099,0.985715090623189
"30",1110008P14Rik,26.2897025496501,0.0734213903420635,0.195424718300168,0.375701656273031,0.707138706424897,0.984848957224999
"31",1110012L19Rik,30.2986721821912,0.116423285077862,0.187268557885121,0.621691577019999,0.534144691219203,0.94694843347181
"32",1110015O18Rik,0.688484027068945,-0.0255849183995983,0.0663003738424633,-0.385894029200964,0.699575152796537,NA
"33",1110017D15Rik,36.9530416551534,-0.0560225623359868,0.197347259971874,-0.283878085482267,0.776503811164826,0.991812485564529
"34",1110019D14Rik,15.3014162873968,0.276040437679879,0.198583413118638,1.39004780583042,0.164514361042658,0.765832270595431
"35",1110020A21Rik,7.17296761028804,0.283466320930573,0.187095165888773,1.51509163576729,0.129749199565876,0.717446298565085
"36",1110025L11Rik,0.577520972811961,-0.0305409880599394,0.0549248296020008,-0.556050665632413,0.578176219438211,NA
"37",1110028F11Rik,11.3612256382329,-0.112398415967127,0.197688556462064,-0.568563087204776,0.569652681107519,0.959219624500983
"38",1110028F18Rik,0.987667952577571,-0.00971645136831985,0.0808385699271541,-0.120195735489577,0.904328095872447,NA
"39",1110032A03Rik,70.5565572586685,-0.246690461586103,0.159522572782893,-1.54642980791091,0.122000799909869,0.705982215690619
"40",1110032F04Rik,0.846940187439925,0.0127582323593044,0.0874674893584338,0.145862565084295,0.884029884192412,NA
"41",1110034G24Rik,15.7820380131669,0.00172150950641157,0.198539969848169,0.00867084601517804,0.993081752525257,0.999727177206495
"42",1110036E04Rik,0.881587409714913,-0.0256681759853384,0.0798626310549147,-0.321404086570709,0.747904186641662,NA
"43",1110037F02Rik,407.635650979013,0.058437557018576,0.0891213658674321,0.655707601087507,0.512012277236302,0.941434087438285
"44",1110038B12Rik,7.9452504063184,-0.0414398495346297,0.190102277700046,-0.217987127960748,0.827439140672577,0.994090233578185
"45",1110038F14Rik,69.8168525930064,-0.0385869412319138,0.163158631083948,-0.236499540205509,0.813045064024462,0.99391093876288
"46",1110046J04Rik,6.92138214547514,-0.0195565941546798,0.170633310394244,-0.114611819400882,0.908752810922258,0.997353142155536
"47",1110051M20Rik,56.4023398707818,-0.0286549177129129,0.167844383359561,-0.17072312542939,0.864441478315563,0.99442980598652
"48",1110058D11Rik,4.92341822526165,0.158273129363413,0.170443618109663,0.928595221802795,0.353098899067546,0.896788056151793
"49",1110059E24Rik,85.7337034703897,-0.070884331968312,0.169180367203339,-0.41898674852216,0.675225816980902,0.981368090864133
"50",1110059G10Rik,36.0355122767669,-0.0659420316601902,0.187279934688985,-0.352104093637688,0.724760198461204,0.987135077538626
"51",1110065P20Rik,3.7032786812879,-0.00519885589158487,0.162112015349899,-0.032069528469952,0.974416603663925,NA
"52",1190002F15Rik,1.46184105393273,0.0157083142164134,0.0885005233801512,0.177494026209753,0.859120357133045,NA
"53",1190002N15Rik,360.076782764989,-0.203180429270073,0.0986902637043047,-2.05876873405507,0.0395163981704332,0.502997965536713
"54",1190003K10Rik,0.689553047342914,-0.121525645183591,0.0777316207235911,-1.56340037750825,0.117958451425933,NA
"55",1190005I06Rik,0.279565986676337,-0.0230810699858408,0.046566641959213,-0.495656740850181,0.620136612792556,NA
"56",1190007I07Rik,5.02045883957427,-0.130423307797879,0.175632322844769,-0.742592853555506,0.457728216501797,0.92849643283298
"57",1200014J11Rik,223.258757617566,-0.0868681215338291,0.115916365723987,-0.749403425403058,0.453614087010222,0.92849643283298
"58",1300002E11Rik,56.7269627960834,-0.00263063382721555,0.161479314371876,-0.0162908409504228,0.987002364436036,0.999306886009384
"59",1300017J02Rik,3.26688048917673,-0.0340903963664176,0.149377247189004,-0.228216793440326,0.819477706618396,NA
"60",1500004A13Rik,16.184611175207,-0.0257170789246102,0.198414485296999,-0.129612910499529,0.896872688314849,0.997353142155536
"61",1500009C09Rik,1.51882221138014,-0.0184460159818788,0.100929676883926,-0.182761072376091,0.854985493837447,NA
"62",1500009L16Rik,7.43938554466698,0.109383388186406,0.178479449292488,0.612862649565616,0.539967161746173,0.949405541391366
"63",1500011B03Rik,14.0864120796007,0.00704737527017072,0.198594263601241,0.0354862982564351,0.971691971902299,0.999306886009384
"64",1500011K16Rik,27.5562810978129,-0.0782000482459404,0.190747581704252,-0.409966131928148,0.68183079209253,0.98196683888729
"65",1500012F01Rik,17.8548711281242,-0.0204120624294976,0.198166819804925,-0.103004440650514,0.917959446573489,0.997353142155536
"66",1500012K07Rik,0.51142518844311,-0.0401074859138603,0.0627328223175854,-0.639338139623559,0.522602982165875,NA
"67",1500015A07Rik,19.9675444231122,-0.0542467374200999,0.19753660055059,-0.274616133257832,0.783611170174609,0.991812485564529
"68",1500015L24Rik,0.582299613511523,0.0442210068422773,0.0654852101820784,0.675282353363804,0.499496393243225,NA
"69",1500015O10Rik,5.81352797679584,-0.24861378395214,0.151218067892365,-1.64407459649002,0.100160794593147,0.671070356044317
"70",1500017E21Rik,1.48345094060198,-0.062515466112792,0.11694323013838,-0.534579607890229,0.592940587704481,NA
"71",1500026H17Rik,2.16163202077591,-0.00843119813338486,0.129424559145045,-0.0651437268867658,0.948059565327704,NA
"72",1600002D24Rik,3.25779552979176,-0.0649412549379139,0.128477985082963,-0.505466013465101,0.613231563537723,NA
"73",1600002H07Rik,14.9423076856963,-0.0189296009122543,0.198469930362065,-0.0953776769998426,0.924014846408471,0.997353142155536
"74",1600002K03Rik,13.3977797607719,0.12726023115352,0.198046813476939,0.64257651471044,0.520498926125053,0.943152457217659
"75",1600010M07Rik,4.53136692429645,-0.219681983498256,0.164640263112094,-1.33431506574238,0.182100622163601,NA
"76",1600012H06Rik,81.7853531405577,0.0936719011279433,0.155472208455342,0.602499328070264,0.546841810321504,0.950635175764393
"77",1600014C10Rik,126.743200994573,-0.232392353483,0.194232766219864,-1.19646318180909,0.231515858149446,0.834954083513466
"78",1600014C23Rik,0.358580602426544,0.0110634154902762,0.0579624010775468,0.190872277279795,0.848625660361821,NA
"79",1600014K23Rik,1.00389337030231,-0.00630792679334387,0.0814136665739673,-0.0774799497282547,0.938241741118522,NA
